Complexity,Loss,Equation
1,9.667784,"-0.16933341"
2,8.932362,"exp(x2)"
3,1.8756644,"x2 + 5.223559"
5,1.6185242,"(x2 * 0.8483636) + 4.405857"
6,1.5639,"square(x1) + (x2 - -3.6641877)"
7,0.68653035,"(sqrt(square(x1)) + 4.201798) + x2"
9,0.46625262,"(x2 + 3.5337114) + sqrt(square(x1) * 2.7350922)"
10,0.0035763194,"(((2.9981527 - x1) * square(x1)) + x2) - -3.1185014"
11,0.003576314,"((x2 + 3.1185074) - cube(x1)) + (square(x1) * 2.998148)"
12,0.0026766763,"(x2 - -3.1586769) + (square(x1) * (2.9197001 - (x1 * 0.96803415)))"
14,0.0024443078,"((x2 + 3.2801225) - x3) + (square(x1) * (2.9189231 - (x1 * 0.96789235)))"
15,0.0024192575,"(square(x1) * (2.918698 - (x1 * 0.9678963))) + ((x2 - sqrt(x3)) - -3.5068185)"
16,0.0023619556,"((x2 * 0.99708253) - (x3 - 3.2697937)) + ((3.0157924 - x1) * (square(x1) * 0.9653274))"
17,0.0023029668,"((2.9094803 - (x1 * 0.9648216)) * square(x1)) + (((x2 * 0.9965339) - sqrt(x3)) - -3.494602)"
18,0.001973087,"(cube(x1 - 1.0064389) * (x3 + -1.0882515)) + (square(x1 + 1.4714655) + (x2 - square(x1)))"
20,0.0018856302,"(square(x1 + 1.4606999) + ((x2 - -0.05364573) - square(x1))) + ((x3 + -1.0796093) * cube(x1 - 1.0074118))"
